date,actual_views,predicted_views
2018-05-06,838536371.0,786516200.0
2018-05-07,894224918.0000001,841436500.0
2018-05-08,943425171.0000001,904495400.0
2018-05-09,1006703381.0000001,960104100.0
2018-05-10,761080011.0000001,1025752770.0
2018-05-11,809375281.0000001,931573760.0
2018-05-12,778480985.0,774205400.0
2018-05-13,755849859.0,774010750.0
2018-05-14,1132606654.0,741366600.0
2018-05-15,884688924.0000001,1061275460.0
2018-05-16,758296655.0000001,1063461570.0
2018-05-17,778025135.0000001,873397000.0
2018-05-18,836789845.0,766025340.0
2018-05-19,920476442.0,779366300.0
2018-05-20,991334342.0,867099650.0
2018-05-21,1005518265.0,988447040.0
2018-05-22,1064505891.0000001,1038667840.0
2018-05-23,1119194403.0,1084747900.0
2018-05-24,1131555469.0,1134776700.0
2018-05-25,1182627193.0,1142907600.0
2018-05-26,1123570510.0,1182502400.0
2018-05-27,1000519070.0000001,1164135200.0
2018-05-28,1137928837.0,1075575900.0
2018-05-29,1212153122.0,1047066000.0
2018-05-30,1111513262.0,1171706000.0
2018-05-31,1144369792.0,1152310100.0
2018-06-01,1210151308.0,1108772400.0
2018-06-02,1080382318.0,1179421600.0
2018-06-03,901138128.0000001,1130014300.0
2018-06-04,932289985.0,996826000.0
2018-06-05,976231029.0,852321340.0
2018-06-06,1007363502.0000001,896201100.0
2018-06-07,1068140514.0,945944200.0
2018-06-08,1108435945.0,1038381300.0
2018-06-09,1091757250.0,1116580200.0
2018-06-10,985094838.0000001,1116065300.0
2018-06-11,999480200.0,1065150600.0
2018-06-12,999228227.0000001,970911000.0
2018-06-13,1029543663.0000001,957786800.0
2018-06-14,1023002785.0,986664060.0
